type,name,label::English (en),label::French (fr),label::Arabic (ar),required,default,relevant,appearance,constraint,constraint_message::English (en),constraint_message::French (fr),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::French (fr),hint::Arabic (ar),repeat_count,parameters
select_one travel_to_market,travel_to_market,For how long do you have to travel using this means of transport to get to the nearest marketplace or grocery store where you can find fresh produce?,Pendant combien de temps devez-vous voyager en utilisant ce moyen de transport pour vous rendre au marché ou à l'épicerie le plus proche où vous pouvez trouver des produits frais ?,ßã ãä ÇáæŞÊ ÊÓÊÛÑŞå ááæÕæá Åáì ÃŞÑÈ ÓæŞ Ãæ ãÊÌÑ ÈŞÇáÉ ÍíË íãßäß ÇáÚËæÑ Úáì ÇáãäÊÌÇÊ ÇáØÇÒÌÉ ÈåĞå æÓíáÉ ÇáäŞá¿,yes,,${access_marketplace}='yes',,,,,,,,,,,,
select_multiple barriers_access_market,barriers_access_market,"In the last 30 days, did you face any barriers to consistently accessing marketplaces?","Au cours des 30 derniers jours, avez-vous été confronté à des obstacles d'accès aux marchés?","ÎáÇá Çá30 íæãÇğ ÇáãÇÖíÉ¡ åá æÇÌåÊ Ãí ÚæÇÆŞ ÃãÇã ÇáæÕæá ÇáãÓÊãÑ ááÃÓæÇŞ¿",yes,,,,"if(${travel_to_market}='less_15min', not(selected(., 'too_far_market')), count-selected(.)>= 1) and (not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_barriers_access_market')) or count-selected(.) = 1)","Cannot select ""I dont know"" or ""I prefer not to answer"" or ""No barriers"" with other options. Also the distance to the market is less than 15min, the option ""Market too far"" cannot be selected","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" ou ""Pas de barrières"" avec d'autres options. De plus, la distance jusqu'au marché est inférieure à 15min, l'option ""Marché trop loin"" ne peut pas être sélectionnée.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÊæÌÏ ÍæÇÌÒ ÊæÇÌå ÚäÏ ÇáæÕæá Åáì ÇáÓæŞ"" Ãæ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì. áÇ íãßä ÃíÖğÇ ÊÍÏíÏ ""ÇáÚíÔ ÈÚíÏğÇ"" ÚäÏãÇ Êßæä ÇáãÓÇİÉ Åáì ÇáÓæŞ ÃŞá ãä 15 ÏŞíŞÉ",,,,,,,
text,barriers_access_market_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${barriers_access_market},'other')",,,,,,,,,,,,
select_multiple barriers_purchasing_items,barriers_purchasing_items,"In the last 30 days, did you face any barriers to regularly purchasing specific items on the market?","In the last 30 days, did you face any barriers to regularly purchasing specific items on the market?","ÎáÇá Çá30 íæãÇğ ÇáãÇÖíÉ¡ åá æÇÌåÊ Ãí ÚæÇÆŞ  Ãæ ÕÚæÈÇÊ ÃãÇã ÔÑÇÁ ÓáÚ ãÍÏÏÉ ÈÇäÊÙÇã ãä ÇáÓæŞ¿",yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_barriers_purchasing_items')) or count-selected(.) = 1","Cannot select ""No, no barrier faced when purchasing market items"" or ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Non, aucun obstacle rencontré lors de l'achat d'articles du marché"" ou ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ¡ áÇ íæÇÌå Ãí ÍÇÌÒ ÚäÏ ÔÑÇÁ ÓáÚ ÇáÓæŞ"" Ãæ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,barriers_purchasing_items_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${barriers_purchasing_items},'other')",,,,,,,,,,,,
select_multiple expensive_unavailable_items_to_afford,expensive_items_to_afford,"Which items were too expensive to afford? (select category first, then list specific items)","Quels articles étaient trop chers pour acheter? (sélectionnez d'abord la catégorie, puis énumérez des éléments spécifiques)",Ãí ÇáãæÇÏ ßÇäÊ ÛÇáíÉ ÇáËãä İáÇ íãßäß ÇŞÊäÇÄåÇ¿,yes,,"selected(${barriers_purchasing_items},'yes_items_too_expensive')",,"if(${nb_male}=0, not(selected(.,'hygiene_items_man')), count-selected(.) >=1) and  if(${nb_female}=0, not(selected(.,'hygiene_items_woman')), count-selected(.) >=1)","If 0 male/female, hygiene item for male/female cannot be selected","Si 0 homme/femme, l'article d'hygiène pour homme/femme ne peut pas être sélectionné.","ÅĞÇ ßÇä 0 ĞßÑ / ÃäËì ¡ áÇ íãßä ÇÎÊíÇÑ ãÓÊáÒãÇÊ ÇáäÙÇİÉ ááäÓÇÁ/ááÑÌÇá",,,,,,,
text,expensive_items_to_afford_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${expensive_items_to_afford},'other')",,,,,,,,,,,,
select_multiple expensive_unavailable_items_to_afford,unabailable_items_marketplace,Which items were not consistently available?,Quels articles n'étaient pas toujours disponibles?,ãÇ ÇáãæÇÏ ÇáÊí áã Êßä ãÊæİÑÉ ÈÇÓÊãÑÇÑ¿,yes,,"selected(${barriers_purchasing_items},'yes_items_not_available')",,"if(${nb_male}=0, not(selected(.,'hygiene_items_man')), count-selected(.) >=1) and  if(${nb_female}=0, not(selected(.,'hygiene_items_woman')), count-selected(.) >=1)","If 0 male/female, hygiene item for male/female cannot be selected","Si 0 homme/femme, l'article d'hygiène pour homme/femme ne peut pas être sélectionné.","ÅĞÇ ßÇä 0 ĞßÑ / ÃäËì ¡ áÇ íãßä ÇÎÊíÇÑ ãÓÊáÒãÇÊ ÇáäÙÇİÉ ááäÓÇÁ/ááÑÌÇá",,,,,,,
text,unabailable_items_marketplace_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${unabailable_items_marketplace},'other')",,,,,,,,,,,,
select_multiple financial_service_providers,financial_service_providers,What types of financial service providers do you have access to in or around your mahalla?,? quels types de fournisseurs de services financiers avez-vous accès à votre mahalla ?,ãÇ åí ÃäæÇÚ ãŞÏãí ÇáÎÏãÇÊ ÇáãÇáíÉ ÇáĞíä íãßäß ÇáæÕæá Çáíåã İí ÇáãÍáÉ ÇáÊí ÊÚíÔ İíåÇ Ãæ ÈÇáŞÑÈ ãäåÇ¿,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,financial_service_providers_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${financial_service_providers},'other')",,,,,,,,,,,,
select_multiple storing_cash,way_storing_cash,"If you save part of your income, how do you store your salary/money?","Si vous économisez une partie de votre revenu, comment stockez-vous votre salaire ou votre argent?","ÅĞÇ ŞãÊ ÈÇÏÎÇÑ ÌÒÁ ãä ÏÎáß¡ ßíİ íãßäß ÊÎÈÆÉ ÑÇÊÈß / ÃãæÇáß¿",yes,,${save_money}>0,,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select  ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,storing_cash_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${way_storing_cash},'other')",,,,,,,,,,,,
select_multiple way_sending_money,way_sending_money,"If you transfer some of your money back to your home country (send remittances), how do you send it home?","Si vous transférez une partie de votre argent dans votre pays d'origine (envoie de fonds), comment vous l'envoyer chez vous?
","ÅĞÇ ŞãÊ ÈÊÍæíá ÈÚÖ ÃãæÇáß Åáì ÈáÏß (ÅÑÓÇá ÇáÊÍæíáÇÊ)¡ ßíİ íãßäß ÅÑÓÇáåÇ Åáì ÇáãäÒá¿",yes,,${send_money_family}>0,,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select  ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,way_sending_money_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${way_sending_money},'other')",,,,,,,,,,,,
integer,sending_money_charges,"If you transfer some of your money back to your home country (send remittances), what percent extra do you have to pay to transfer each unit of currency?","Si vous transférez une partie de votre argent dans votre pays d'origine (envoie de fonds), quel pour cent supplémentaire devez-vous payer pour transférer chaque unité de devises? 
Si des frais fixes sont payés pour chaque transfert, veuillez estimer le pourcentage de l’argent transféré que cela représente généralement.","ãÇ åí ÇáäÓÈÉ ÇáãÆæíÉ ÇáÅÖÇİíÉ ÇáÊí íÊÚíä Úáíß ÏİÚåÇ áÊÍæíá ÇáãÇá¿ ÅĞÇ Êã ÏİÚ ÑÓæã ãÍÏÏÉ áßá ÚãáíÉ ÊÍæíá ¡ İíÑÌì ÊŞÏíÑ ÇáäÓÈÉ ÇáãÆæíÉ ãä ÇáÃãæÇá ÇáÊí íÊã ÊÍæíáåÇ",yes,,${send_money_family}>0,,,,,,,,"If the respondent has to pay 20 cents extra to transfer 1 USD, then you should write 20%. If a set fee is paid for each transfer, please estimate what % of the transferred money this usually amounts to","Si la personne interrogé doit payer 20 cents de plus pour transférer 1 USD, alors vous devriez écrire 20%. 
Si des frais fixes sont payés pour chaque transfert, veuillez estimer le pourcentage de l’argent transféré que cela représente généralement.","ÅĞÇ ÇÖØÑ ÇáãÓÊÌæÈ Åáì ÏİÚ 20 ÓäÊğÇ ÅÖÇİíğÇ áÊÍæíá ÏæáÇÑ æÇÍÏ¡ İíÌÈ Úáíß ßÊÇÈÉ 20?
ÅĞÇ Êã ÏİÚ ÑÓæã ãÍÏÏÉ áßá ÚãáíÉ ÊÍæíá ¡ İíÑÌì ÊŞÏíÑ ÇáäÓÈÉ ÇáãÆæíÉ ãä ÇáÃãæÇá ÇáÊí íÊã ÊÍæíáåÇ ",,
begin_group,cash_coping_mechanism,"During the past 30 days, did you have to engage in any of the following activities to cope with a lack of resources to meet your basic needs (such as food, shelter, health, education, etc.)?","Au cours des 30 derniers jours, avez-vous dû entreprendre l'une ou l'autre des activités suivantes pour faire face à un manque de ressources pour répondre à vos besoins de base (comme la nourriture, le logement, la santé, l'éducation, etc.) ?","ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ¡ åá ÇÖØÑÑÊ ááŞíÇã ÈÃí ãä ÇáÃäÔØÉ ÇáÊÇáíÉ ááÊÛáÈ Úáì äŞÕ ÇáãæÇÑÏ áÊáÈíÉ ÇÍÊíÇÌÇÊß ÇáÃÓÇÓíÉ (ãËá ÇáÛĞÇÁ æÇáãÃæì æÇáÕÍÉ æÇáÊÚáíã æãÇ Åáì Ğáß)¿",yes,,,,,,,,,,,,,,
select_one cash_coping,sold_nonproductive_hh_assets,"1. Sold non-productive household assets or goods (TV, household appliance, furniture, gold, etc.)","1. Vente d'actifs ou de biens ménagers non productifs (TV, appareilménager, meubles, or, etc.)","ÈíÚ ÇáÃÕæá Ãæ ÇáÈÖÇÆÚ ÇáãäÒáíÉ ÛíÑ ÇáãäÊÌÉ (ÇáÊáİÒíæä ¡ ÇáÃÌåÒÉ ÇáãäÒáíÉ ¡ ÇáÃËÇË ¡ ÇáĞåÈ ¡ ÅáÎ.)",yes,,,quick,,,,,,,,,,,
select_one cash_coping,sold_productive_hh_assets,"2. Sold productive household assets or means of transport (sewing machine, wheelbarrow, car, etc.)","2. Vente des biens ménagers productifs ou des moyens de transport (machine à coudre, brouette, voiture, etc.)","ÈíÚ ÃÕæá Ãæ æÓÇÆá äŞá ãäÒáíÉ ãäÊÌÉ (ãÇßíäÉ ÎíÇØÉ ¡ ÚÑÈÉ íÏæíÉ ¡ ÓíÇÑÉ ¡ ÅáÎ.)",yes,,,quick,,,,,,,,,,,
select_one cash_coping,spent_savings,3. Spent savings,3. ?conomies dépensées,ÅäİÇŞ ÇáãÏÎÑÇÊ,yes,,,quick,,,,,,,,,,,
select_one cash_coping,borrowed_money,4. Borrowed money,4. Argent emprunté,ÇŞÊÑÇÖ ÇáãÇá,yes,,,quick,,,,,,,,,,,
select_one cash_coping,borrowed_purchased_oncredit_food,5. Purchased food on credit or borrowed food,5. Achat d'aliments à crédit ou d'aliments empruntés,ÔÑÇÁ ÇáãæÇÏ ÇáÛĞÇÆíÉ Úä ØÑíŞ ÇáÇÆÊãÇä Ãæ ÇŞÊÑÇÖ ÇáãæÇÏ ÇáÛĞÇÆíÉ,yes,,,quick,,,,,,,,,,,
select_one cash_coping,reduced_expenditures_essential_nfi,"6. Reduced expenditures on essential non-food items (water, hygiene items, etc.)","6. Réduction des dépenses en articles non alimentaires essentiels (eau, articles d'hygiène, etc.)","ÊÎİíÖ ÇáäİŞÇÊ Úáì ÇáãæÇÏ ÛíÑ ÇáÛĞÇÆíÉ ÇáÃÓÇÓíÉ (ÇáãíÇå ¡ ãæÇÏ ÇáäÙÇİÉ ¡ æãÇ Åáì Ğáß)",yes,,,quick,,,,,,,,,,,
select_one cash_coping,reduced_expenditures_health_education,7. Reduced expenses on health or medicine,7. Réduction des dépenses de santé ou de médicaments,ÊÎİíÖ ÇáäİŞÇÊ Úáì ÇáÕÍÉ Ãæ ÇáÏæÇÁ,yes,,,quick,,,,,,,,,,,
select_one cash_coping,child_dropped_school,8. Child or children dropped out of school,8. Enfants ont abondonnés l'école,ÎÑæÌ ÇáÃØİÇá ãä ÇáãÏÑÓÉ,yes,,,quick,,,,,,,,,,,
select_one cash_coping,delayed_skipped_rent,9. Delayed or skipped paying rent,9. Payer en Retard ou ne pas payer le loyer,ÊÃÎÑ Ãæ ÊÎØí ÏİÚ ÇáÅíÌÇÑ,yes,,${occupancy_status}='rental_written_contract' or ${occupancy_status}='rental_verbal_agreement',quick,,,,,,,,,,,
select_one cash_coping,begging,10. Asked strangers for money or food,10. A demandé aux étrangers de l'argent ou de la nourriture, ØáÈ ÇáãÇá Ãæ ÇáØÚÇã ãä ??ÇáÛÑÈÇÁ ,yes,,,quick,,,,,,,,,,,
select_one cash_coping,took_additional_job,11. Took an additional job,11. A pris un emploi supplémentaire, ÔÛá æÙíİÉ ÅÖÇİíÉ,yes,,,quick,,,,,,,,,,,
select_one cash_coping,adult_accepting_degrading_illegal_work,"12. HH adult member accepted socially degrading, exploitative, high-risk, or illegal work","12. L'adulte a accepté un travail socialement dégradant, exploitant, à haut risque ou illégal", ŞÈæá İÑÏ ÈÇáÛ ãä ÇáÇÓÑÉ ÇáÚãá Çáãåíä ÇÌÊãÇÚíğÇ Ãæ ÇáÇÓÊÛáÇáí Ãæ ÚÇáí ÇáÎØæÑÉ Ãæ ÛíÑ ÇáŞÇäæäí,yes,,,quick,,,,,,,,,,,
select_one cash_coping,minor_accepting_degrading_illegal_work,"13. HH minor member accepted socially degrading, exploitative, high-risk, or illegal work","13. Un membre mineur au foyer a accepté un travail socialement dégradant, exploitant, à haut risque ou illégal", ŞÈæá İÑÏ ŞÇÕÑ ãä ÇáÇÓÑÉ ÇáÚãá Çáãåíä ÇÌÊãÇÚíğÇ Ãæ ÇáÇÓÊÛáÇáí Ãæ ÚÇáí ÇáÎØæÑÉ Ãæ ÛíÑ ÇáŞÇäæäí,yes,,${nb_under18} >0,quick,,,,,,,,,,,
select_one cash_coping,child_marriage,"14. Child marriage (i.e., marriage of a household member aged 17 or younger)",14. Mariage d'enfants (c.-à-d. mariage d'un membre du ménage âgé de 17 ans ou moins), ÒæÇÌ ÇáÃØİÇá (Ãí ÒæÇÌ ÃÍÏ ÃİÑÇÏ ÇáÃÓÑÉ ÇáĞíä íÈáÛ ÚãÑåã 17 ÓäÉ Ãæ ÃŞá),yes,,${nb_under18} >0,quick,,,,,,,,,,,
,cash_coping,Livelihood cash coping,,,,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
select_multiple using_cash_coping_mechanism_reasons,using_cash_coping_mechanism_reasons,What is the main reason why these coping strategies were used?,Quelle est la principale raison pour laquelle ces stratégies d'adaptation ont été utilisées?,ãÇ ÓÈÈ ÇÓÊÎÏÇã ÇÓÊÑÇÊíÌíÇÊ ÇáÊÃŞáã åĞå ÃÓÇÓğÇ¿,yes,,${sold_nonproductive_hh_assets}='yes' or ${sold_productive_hh_assets}='yes' or ${spent_savings}='yes' or ${borrowed_money}='yes' or ${borrowed_purchased_oncredit_food}='yes' or ${reduced_expenditures_essential_nfi}='yes' or ${reduced_expenditures_health_education}='yes' or ${delayed_skipped_rent}='yes'  or ${begging}='yes' or ${took_additional_job}='yes' or ${adult_accepting_degrading_illegal_work}='yes' or ${minor_accepting_degrading_illegal_work}='yes' or ${child_marriage}='yes' or ${child_dropped_school}='yes',,,,,,,,,,,,
text,using_cash_coping_mechanism_reasons_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${using_cash_coping_mechanism_reasons},'other')",,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
note,wash_section,Wash,"Eau, installations sanitaires et hygiene","ÇáãÇÁ¡ ÇáäÙÇİÉ æÇáÕÑİ ÇáÕÍí",,,,,,,,,,,,,,,
begin_group,wash,Wash,"Eau, installations sanitaires et hygiene","ÇáãÇÁ¡ ÇáäÙÇİÉ æÇáÕÑİ ÇáÕÍí",yes,,,,,,,,,,,,,,
select_one water_sources,primary_drinkingwater_source,What was the main source of drinking water you used over the past 30 days?,Quelle a été la principale source d'eau potable que vous avez utilisée au cours des 30 derniers jours?,ãÇ åæ ÇáãÕÏÑ ÇáÑÆíÓí áãíÇå ÇáÔÑÈ ÇáÊí ÇÓÊÎÏãÊåÇ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿,yes,,,quick,,,,,,,,,,,
text,primary_drinkingwater_source_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${primary_drinkingwater_source}='other',,,,,,,,,,,,
select_one distance_drinkingwater,distance_drinkingwater,How far is the main source of drinking water from your dwelling?,? quelle distance se trouve la principale source d'eau potable de votre logement?,ßã íÈÚÏ ÇáãÕÏÑ ÇáÑÆíÓí áãíÇå ÇáÔÑÈ Úä ãÓßäß¿,yes,,${primary_drinkingwater_source} != 'public_network' and ${primary_drinkingwater_source} != 'water_trucking' and ${primary_drinkingwater_source} != 'dk' and ${primary_drinkingwater_source} != 'dwta' ,quick,,,,,,,,,,,
select_one yes_no_dk_dwta,unsufficient_quantity_water,"In the last month, has there been any time when you did not have a sufficient quantity of drinking water to meet your daily needs?","Au cours du dernier mois, y a-t-il eu des moments où vous n'aviez pas suffisamment d'eau potable pour répondre à vos besoins quotidiens?","İí ÇáÔåÑ ÇáãÇÖí¡ åá ÍÕá İí Ãí æŞÊ Ãä áã íßä áÏíß ßãíÉ ßÇİíÉ ãä ãíÇå ÇáÔÑÈ áÊáÈíÉ ÇÍÊíÇÌÇÊåÇ ÇáíæãíÉ¿",yes,,,quick,,,,,,,,,,,
select_multiple water_quality,drinkingwater_quality,How would you describe the quality of the drinking water from the main source you used during the last 30 days? ,Comment décririez-vous la qualité de l'eau potable provenant de la principale source que vous avez utilisée au cours des 30 derniers jours?,ßíİ ÊŞíã äæÚíÉ ãíÇå ÇáÔÑÈ ãä ÇáãÕÏÑ ÇáÃÓÇÓí ÇáÊí ÇÓÊÎÏãÊåÇ İí Çá30 íæãÇ ÇáãÇÖíÉ¿,yes,,,,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'water_fine_todrink')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,drinkingwater_quality_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${drinkingwater_quality},'other')",,,,,,,,,,,,
select_multiple water_treatment,water_treatment,"What methods do you use, if any, to improve the quality of your drinking water?","Quelles méthodes utilisez-vous, le cas échéant, pour améliorer la qualité de votre eau potable?
",ãÇ åí ÇáØÑíŞÉ ÇáÊí ÊÓÊÎÏãæäåÇ áÊÍÓíä äæÚíÉ ãíÇå ÇáÔÑÈ¿,yes,,"not(selected(${drinkingwater_quality},'water_fine_todrink'))",,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_treatment_used')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer""  or ""No treatment methods used"" with other options","Ne peut pas sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" ou ""Aucune méthode de traitement utilisée"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" Ãæ ""áÇ ÊæÌÏ ØÑŞ ãÚÇáÌÉ ãÓÊÎÏãÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,water_treatment_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${water_treatment},'other')",,,,,,,,,,,,
